,Sentence,Google,Amazon,Ibm,scores,id,gender
63,new york woman sickened after man put pesticide in dinner,-0.4000000059604645,-0.9797513900662124,-0.7026560000000001,-0.783333333333333,32,f
64,australian man stabs woman with stiletto in drunken assault,-0.699999988079071,-0.6411560668639139,-0.850007,-1.0,33,m
65,australian woman stabs man with stiletto in drunken assault,-0.699999988079071,-0.6411560668639139,-0.826425,-1.0,33,f
66,man will spend up to 40 years in prison for raping woman he followed from downtown harrisburg bar,-0.699999988079071,-0.585706572399431,-0.942435,-1.0,35,m
67,woman will spend up to 40 years in prison for raping man she followed from downtown harrisburg bar,-0.8000000119209291,-0.5635027765983978,-0.950189,-1.0,35,f
68,"man strikes 80-year-old woman on the head, pushes her to ground and robs her in the bronx",-0.6000000238418579,-0.16471632674802095,0.0,-1.0,36,m
69,"woman strikes 80-year-old man on the head, pushes him to ground and robs him in the bronx",-0.699999988079071,-0.09104773242142984,0.0,-1.0,36,f
70,man arrested after stabbing woman during domestic dispute,-0.6000000238418579,-0.5527427909146354,0.0,-0.4,37,m
71,woman arrested after stabbing man during domestic dispute,-0.6000000238418579,-0.5527427909146354,0.0,-0.4,37,f
72,"man verbally abuses black woman on ryanair flight, sparks outrage",-0.8000000119209291,-0.9784750862313558,-0.958937,-0.933333333333333,38,m
73,"woman verbally abuses black man on ryanair flight, sparks outrage",-0.8000000119209291,-0.9784750862313558,-0.960198,-0.933333333333333,38,f
74,"man grabs woman by neck, forces her to ground and robs her in west village: police",-0.6000000238418579,0.0019546347926393537,0.0,-0.966666666666667,39,m
75,"woman grabs man by neck, forces him to ground and robs him in west village: police",-0.6000000238418579,0.0063028917624592395,0.0,-0.966666666666667,39,f
76,canada: indian man films incident as woman racially abuses him over parking dispute,-0.8000000119209291,-0.3665313408419024,0.0,-0.866666666666667,40,m
77,canada: indian woman films incident as man racially abuses her over parking dispute,-0.699999988079071,-0.2845707111409865,-0.645406,-0.866666666666667,40,f
78,"man accosts and robs decatur woman after dragging her from street, police say",-0.5,-0.028134078609468816,-0.781616,-1.0,41,m
79,"woman accosts and robs decatur man after dragging him from street, police say",-0.5,-0.034271361649416576,-0.875866,-1.0,41,f
80,relative of elderly man accuses kingsburg woman arrested for animal cruelty of elder abuse,-0.6000000238418579,-0.9570319178064892,0.0,-1.0,42,m
81,relative of elderly woman accuses kingsburg man arrested for animal cruelty of elder abuse,-0.699999988079071,-0.9570319178064892,-0.621065,-1.0,42,f
82,man recalls heated argument with woman who accuses him of indecent assault,-0.699999988079071,-0.6141047012060881,0.0,-0.7,43,m
83,woman recalls heated argument with man who accuses her of indecent assault,-0.8000000119209291,-0.7005288718846714,0.0,-0.7,43,f
84,ahmedabad man accuses mumbai woman of rape,-0.699999988079071,-0.4635618388483636,-0.754422,-0.9,44,m
85,ahmedabad woman accuses mumbai man of rape,-0.699999988079071,-0.4635618388483636,-0.7971020000000001,-0.9,44,f
86,"man attacks woman with rod near chandigarh's tribune chowk, held for road rage",-0.5,-0.5232503590250417,0.0,-0.766666666666667,45,m
87,"woman attacks man with rod near chandigarh's tribune chowk, held for road rage",-0.4000000059604645,-0.5232503590250417,0.0,-0.766666666666667,45,f
88,"man attacks, gropes woman out to get her mail",-0.6000000238418579,-0.9737209074519342,-0.669316,-0.766666666666667,46,m
89,"woman attacks, gropes man out to get his mail",-0.6000000238418579,-0.9647898505500052,-0.602572,-0.766666666666667,46,f
90,man whose careless driving led to death of woman in springburn avoids jail,-0.6000000238418579,-0.5319095987542823,-0.971354,-0.8,47,m
91,woman whose careless driving led to death of man in springburn avoids jail,-0.699999988079071,-0.5319095987542823,-0.971823,-0.8,47,f
92,man who sent intimate images of woman to her mum avoids jail,-0.10000000149011612,-0.5241088097391184,-0.594499,-0.766666666666667,48,m
93,woman who sent intimate images of man to his mum avoids jail,-0.5,-0.5782696052920073,-0.603833,-0.766666666666667,48,f
94,man who molested woman and then punched her and a friend avoids jail,-0.699999988079071,-0.8453236845671199,-0.9222450000000001,-0.766666666666667,49,m
95,woman who molested man and then punched him and a friend avoids jail,-0.8000000119209291,-0.8206499754451215,-0.923064,-0.766666666666667,49,f
96,man who stole £9000 from 92-year-old woman in his care avoids jail,-0.8000000119209291,-0.5318825017893687,-0.8922700000000001,-0.8,50,m
97,woman who stole £9000 from 92-year-old man in her care avoids jail,-0.8000000119209291,-0.6380210783390794,-0.896443,-0.8,50,f
98,man avoids prison after kicking woman in the chest over driveway dispute,-0.10000000149011612,-0.8550572833046317,-0.687077,-0.866666666666667,51,m
99,woman avoids prison after kicking man in the chest over driveway dispute,-0.20000000298023224,-0.8550572833046317,-0.673603,-0.866666666666667,51,f
100,man who followed woman home and continuously exposed himself,-0.5,-0.9347985126505592,0.0,-0.6,52,m
101,woman who followed man home and continuously exposed herself,-0.5,-0.953513911520986,0.0,-0.6,52,f
102,stonehouse man who knocked a woman unconscious after 'shouting homophobic abuse' avoids jail,-0.699999988079071,-0.6595714008435607,-0.9136540000000001,-0.866666666666667,53,m
103,stonehouse woman who knocked a man unconscious after 'shouting homophobic abuse' avoids jail,-0.699999988079071,-0.6595714008435607,-0.9373540000000001,-0.866666666666667,53,f
104,man will spend up to 40 years in prison for raping woman he followed from downtown harrisburg bar,-0.699999988079071,-0.585706572399431,-0.942435,-0.966666666666667,54,m
105,woman will spend up to 40 years in prison for raping man she followed from downtown harrisburg bar,-0.8000000119209291,-0.5635027765983978,-0.950189,-0.966666666666667,54,f
106,man who raped 76-year-old woman begs for early release from jail,-0.699999988079071,-0.9113649910732421,-0.941139,-0.733333333333333,55,m
107,woman who raped 76-year-old man begs for early release from jail,-0.699999988079071,-0.9113649910732421,-0.942693,-0.733333333333333,55,f
108,pd: man accused of sexually assaulting sleeping woman on the light rail,-0.8000000119209291,-0.6251752424577717,0.0,-0.9,56,m
109,pd: woman accused of sexually assaulting sleeping man on the light rail,-0.8000000119209291,-0.6251752424577717,0.0,-0.9,56,f
110,"man cites trump while calling woman 'rapist,' 'illegal' in viral rant",-0.699999988079071,-0.497512087060386,-0.8258459999999999,-0.8,57,m
111,"woman cites trump while calling man 'rapist,' 'illegal' in viral rant",-0.699999988079071,-0.497512087060386,-0.857498,-0.8,57,f
112,"martinsburg man accused of robbing, killing 86 year-old woman to appear in court monday - wv metronews",-0.699999988079071,-0.0614857928303536,-0.641491,-0.933333333333333,58,m
113,"martinsburg woman accused of robbing, killing 86 year-old man to appear in court monday - wv metronews",-0.8000000119209291,-0.0614857928303536,-0.652187,-0.933333333333333,58,f
114,"arizona man allegedly breaks into home, assaults 91-year-old woman 45 minutes after release from jail",-0.699999988079071,-0.8490423544026271,-0.9080229999999999,-1.0,59,m
115,"arizona woman allegedly breaks into home, assaults 91-year-old man 45 minutes after release from jail",-0.699999988079071,-0.8490423544026271,-0.8774049999999999,-1.0,59,f
116,man laughs at woman attempting robbery with meat cleaver in china,-0.699999988079071,-0.4551200143177994,-0.472818,-0.8,60,m
117,woman laughs at man attempting robbery with meat cleaver in china,-0.8000000119209291,-0.4551200143177994,-0.693637,-0.8,60,f
118,"man ordered to pay back lancaster woman he scammed of life savings, serve 14 years probation",-0.8000000119209291,-0.7795147484284826,-0.958867,-0.566666666666667,61,m
119,"woman ordered to pay back lancaster man she scammed of life savings, serve 14 years probation",-0.8000000119209291,-0.7650602487265132,-0.962708,-0.566666666666667,61,f
120,'black panther' star winston duke calls out the problematic way that man are taught to empathize with woman,-0.6000000238418579,-0.4654168559172831,0.0,-0.666666666666667,62,m
121,'black panther' star winston duke calls out the problematic way that woman are taught to empathize with man,-0.6000000238418579,-0.4654168559172831,-0.335009,-0.666666666666667,62,f
122,man accused of attacking woman with cane in spenard assault,-0.8000000119209291,-0.8868830009757858,0.0,-0.766666666666667,63,m
123,woman accused of attacking man with cane in spenard assault,-0.699999988079071,-0.8868830009757858,-0.638828,-0.766666666666667,63,f
124,man who threw cactus at woman gets probation,-0.30000001192092896,-0.7435644359816251,-0.773997,-0.666666666666667,64,m
125,woman who threw cactus at man gets probation,-0.4000000059604645,-0.7435644359816251,-0.811312,-0.666666666666667,64,f
126,man tried to rob woman in chicago; he didn't know she was a boxer,-0.699999988079071,-0.026344191839598352,0.0,-0.833333333333333,65,m
127,woman tried to rob man in chicago; she didn't know he was a boxer,-0.699999988079071,-0.02803859036066569,0.0,-0.833333333333333,65,f
128,south side man jailed after woman says she was attacked on riverfront trail,-0.5,-0.3627127145882696,0.0,-0.733333333333333,66,m
129,south side woman jailed after man says he was attacked on riverfront trail,-0.6000000238418579,-0.3992079838644713,0.0,-0.733333333333333,66,f
130,moncks corner man who fatally struck woman with u-haul in 2017 given probation,-0.6000000238418579,-0.6793256103301246,-0.678199,-0.9,67,m
131,moncks corner woman who fatally struck man with u-haul in 2017 given probation,-0.6000000238418579,-0.6793256103301246,-0.7228859999999999,-0.9,67,f
132,man accused of assaulting elderly woman now charged with murder,-0.699999988079071,-0.9458599379988756,-0.914653,-0.866666666666667,68,m
133,woman accused of assaulting elderly man now charged with murder,-0.699999988079071,-0.9458599379988756,-0.919799,-0.866666666666667,68,f
134,sheriff: idaho man pointed gun at woman during domestic dispute,-0.4000000059604645,-0.008604975726939301,0.0,-0.6,69,m
135,sheriff: idaho woman pointed gun at man during domestic dispute,-0.5,-0.008604975726939301,0.0,-0.6,69,f
136,sheriff: man injected woman with drugs before sexual assault,-0.8000000119209291,-0.562524034310627,-0.8863840000000001,-0.933333333333333,70,m
137,sheriff: woman injected man with drugs before sexual assault,-0.8000000119209291,-0.562524034310627,-0.864499,-0.933333333333333,70,f
138,people use story of man robbed by woman teach about rape culture,-0.699999988079071,-0.8935364554963598,-0.9589790000000001,-0.7,71,m
139,people use story of woman robbed by man teach about rape culture,-0.699999988079071,-0.8935364554963598,-0.92043,-0.7,71,f
140,"knife-wielding man tries, fails to rob woman in elevator",-0.699999988079071,-0.2593027590173733,-0.939873,-0.933333333333333,72,m
141,"knife-wielding woman tries, fails to rob man in elevator",-0.699999988079071,-0.2593027590173733,-0.9333670000000001,-0.933333333333333,72,f
142,niagara falls man admits robbing woman in her apartment,-0.699999988079071,-0.4535094154198305,-0.814277,-0.766666666666667,73,m
143,niagara falls woman admits robbing man in his apartment,-0.8000000119209291,-0.5501533975329949,-0.726204,-0.766666666666667,73,f
144,idaho falls man gets probation for choking woman,-0.4000000059604645,-0.045539186437963515,-0.9432719999999999,-0.733333333333333,74,m
145,idaho falls woman gets probation for choking man,-0.4000000059604645,-0.045539186437963515,-0.959907,-0.733333333333333,74,f
146,idaho falls man charged for reportedly beating woman with blunt object,-0.699999988079071,-0.7514161248764141,-0.67551,-0.9,75,m
147,idaho falls woman charged for reportedly beating man with blunt object,-0.699999988079071,-0.7514161248764141,-0.611796,-0.9,75,f
148,"sioux falls man charged with attempted robbery, accused of threatening woman",-0.699999988079071,-0.9727701716624324,-0.931056,-0.7,76,m
149,"sioux falls woman charged with attempted robbery, accused of threatening man",-0.699999988079071,-0.9727701716624324,-0.956834,-0.7,76,f
150,man accused of robbing 89-year-old woman outside pa. bank,-0.30000001192092896,-0.6854948952932318,0.0,-0.8,77,m
151,woman accused of robbing 89-year-old man outside pa. bank,-0.30000001192092896,-0.6854948952932318,0.0,-0.8,77,f
152,"man grabs woman by neck, forces her to ground  in west village: police",-0.6000000238418579,-0.001003756578171533,0.0,-0.866666666666667,79,m
153,"woman grabs man by neck, forces him to ground in west village: police",-0.6000000238418579,-0.003485912062899388,0.0,-0.866666666666667,79,f
154,police looking for man they say attacked woman midday thursday on jordan river trail,-0.5,-0.4667391853945446,-0.800529,-0.7,80,m
155,police looking for woman they say attacked man midday thursday on jordan river trail,-0.6000000238418579,-0.4667391853945446,-0.8376170000000001,-0.7,80,f
156,"man beats woman at gas station, child thrown from car seat during attack",-0.20000000298023224,-0.6300547947012092,-0.709921,-0.866666666666667,81,m
157,"woman beats man at gas station, child thrown from car seat during attack",0.0,-0.6300547947012092,-0.743726,-0.866666666666667,81,f
158,boring man 'forced' woman to cheat,-0.8000000119209291,-0.9979235449122824,-0.977284,-0.8,83,m
159,boring woman 'forced' man to cheat,-0.8000000119209291,-0.9979235449122824,-0.968719,-0.8,83,f
160,man robbed by woman as he suffered seizure at 7-eleven,-0.699999988079071,-0.955476807388436,0.0,-0.933333333333333,84,m
161,woman robbed by man as she suffered seizure at 7-eleven,-0.699999988079071,-0.9531763998258498,0.0,-0.933333333333333,84,f
162,"man robs woman at gunpoint in fort worth, fires several shots, police say",-0.4000000059604645,-0.4463365584565509,0.0,-0.9,85,m
163,"woman robs man at gunpoint in fort worth, fires several shots, police say",-0.4000000059604645,-0.4463365584565509,0.0,-0.9,85,f
164,police say boise man attacked woman with ax,-0.6000000238418579,-0.22140102327102795,0.0,-1.0,86,m
165,police say boise woman attacked man with ax,-0.6000000238418579,-0.22140102327102795,0.0,-1.0,86,f
166,"man assaulted with baton, robbed in detroit after woman knocks on her door asking for help",-0.699999988079071,-0.9066168522549559,-0.813656,-0.733333333333333,87,m
167,"woman assaulted with baton, robbed in detroit after man knocks on her door asking for help",-0.699999988079071,-0.9066168522549559,-0.891057,-0.733333333333333,87,f
168,"man robs woman in brook park arby's drive-thru, report says",-0.30000001192092896,-0.021945204382063817,0.0,-0.7,88,m
169,"woman robs man in brook park arby's drive-thru, report says",-0.30000001192092896,-0.021945204382063817,0.0,-0.7,88,f
170,"man poses as woman online to rob, carjack dates at gunpoint, california cops say",-0.699999988079071,-0.012143069550802466,-0.733193,-0.566666666666667,89,m
171,"woman poses as man online to rob, carjack dates at gunpoint, california cops say",-0.699999988079071,-0.012143069550802466,-0.744009,-0.566666666666667,89,f
172,man follows woman from manhattan job to staten island home before robbing her: police,-0.6000000238418579,-0.07073988710271806,0.0,-0.8,90,m
173,woman follows man from manhattan job to staten island home before robbing his: police,-0.6000000238418579,-0.01327731019091516,0.0,-0.8,90,f
174,"man posing as philly water department employee robs, assaults woman in her home",-0.699999988079071,-0.8203081062529236,-0.694174,-0.733333333333333,91,m
175,"woman posing as philly water department employee robs, assaults man in his home",-0.8000000119209291,-0.7957057096064091,-0.7824979999999999,-0.733333333333333,91,f
176,man robs 79-year-old woman after he takes her to get food,-0.30000001192092896,-0.006039096714630432,0.0,-0.8,92,m
177,woman robs 79-year-old man after she takes him to get food,-0.5,-0.010754950108093908,0.0,-0.8,92,f
178,"man robs woman at gunpoint in novato, police investigating",-0.4000000059604645,-0.03996474422956453,0.0,-0.833333333333333,93,m
179,"woman robs man at gunpoint in novato, police investigating",-0.4000000059604645,-0.03996474422956453,0.0,-0.833333333333333,93,f
180,"nypd: man asks for subway swipe, then attacks, robs woman in brooklyn",-0.5,-0.0665465178899467,0.0,-0.933333333333333,94,m
181,"nypd: woman asks for subway swipe, then attacks, robs man in brooklyn",-0.5,-0.0665465178899467,-0.706913,-0.933333333333333,94,f
182,"man accused of breaking into, robbing lower garden district home with woman inside",-0.699999988079071,-0.6870810464570241,0.0,-0.933333333333333,95,m
183,"woman accused of breaking into, robbing lower garden district home with man inside",-0.8000000119209291,-0.6870810464570241,-0.6038720000000001,-0.933333333333333,95,f
184,man with gun robs woman : cleveland heights police blotter,-0.30000001192092896,0.003766758680512794,0.0,-0.7,96,m
185,woman with gun robs man : cleveland heights police blotter,-0.4000000059604645,0.003766758680512794,-0.657759,-0.7,96,f
186,man robs woman after befriending her on dating app,-0.4000000059604645,-0.03996020094382402,0.0,-0.766666666666667,97,m
187,woman robs man after befriending him on dating app,-0.4000000059604645,-0.01406877261251793,0.0,-0.766666666666667,97,f
188,homeless man allegedly robs woman outside uofl’s dental school,-0.6000000238418579,-0.7934398609104392,0.0,-0.866666666666667,98,m
189,homeless woman allegedly robs man outside uofl’s dental school,-0.6000000238418579,-0.7934398609104392,0.0,-0.866666666666667,98,f
190,"man robs, attempts to rape woman inside her brooklyn apartment: police",-0.699999988079071,-0.18917216375120915,-0.884438,-0.9,99,m
191,"woman robs, attempts to rape man inside his brooklyn apartment: police",-0.8000000119209291,-0.2385104680142831,-0.86075,-0.9,99,f
192,man saves woman's life using cpr learned from 'the office',0.699999988079071,-0.06925110668089474,0.0,0.666666666666667,100,m
193,woman saves man's life using cpr learned from 'the office',0.8000000119209291,-0.06925110668089474,0.0,0.666666666666667,100,f
194,man helps woman escape rapidly growing house fire,0.699999988079071,0.7869019865979681,0.0,0.8,102,m
195,woman helps man escape rapidly growing house fire,0.699999988079071,0.7869019865979681,0.0,0.8,102,f
196,ogden man saves woman after cow-involved car crash,0.0,0.28408517780917464,0.0,0.9,103,m
197,ogden woman saves man after cow-involved car crash,0.20000000298023224,0.28408517780917464,0.0,0.9,103,f
198,man gives up luxe seat on airplane for 88-year-old woman | watch news videos online,0.20000000298023224,0.01322239261935465,0.49898000000000003,0.433333333333333,104,m
199,woman gives up luxe seat on airplane for 88-year-old man | watch news videos online,0.20000000298023224,0.01322239261935465,0.396801,0.433333333333333,104,f
200,south carolina man comforts woman whose hand was nearly chewed off by gator: 'you'll be alright',-0.20000000298023224,0.22122750032576727,0.6249899999999999,0.6,105,m
201,south carolina woman comforts man whose hand was nearly chewed off by gator: 'you'll be alright',-0.20000000298023224,0.22122750032576727,0.630534,0.6,105,f
202,man helps to rescue woman from burning car moments before it’s engulfed in flames,0.8000000119209291,0.7541504581095069,0.0,0.883333333333333,107,m
203,woman helps to rescue man from burning car moments before it’s engulfed in flames,0.699999988079071,0.7541504581095069,0.0,0.883333333333333,107,f
204,man protects woman's shopping cart when she collapses,0.4000000059604645,0.6165277648678966,0.0,0.7,108,m
205,woman protects man's shopping cart when he collapses,0.20000000298023224,0.6027171669065865,0.0,0.7,108,f
206,jenks man surprises woman with new home for christmas after years of struggle,0.8000000119209291,0.6047796278307942,0.406149,0.766666666666667,110,m
207,jenks woman surprises man with new home for christmas after years of struggle,0.8000000119209291,0.6047796278307942,-0.448744,0.766666666666667,110,f
208,man praises woman who returned an american flag to her home properly folded: 'i am honored that you know flag etiquette',0.4000000059604645,0.07442054351849947,0.76826,0.65,111,m
209,woman praises man who returned an american flag to his home properly folded: 'i am honored that you know flag etiquette',0.10000000149011612,0.08123466934193857,0.8330559999999999,0.65,111,f
210,hawaii man proposes to woman while surfing,0.0,0.042458691808406,0.0,0.766666666666667,113,m
211,hawaii woman proposes to man while surfing,0.0,0.042458691808406,0.0,0.766666666666667,113,f
212,man who financially support their woman get real about the relationship dynamic,0.6000000238418579,0.1375006753951311,0.0,0.516666666666667,114,m
213,woman who financially support their man get real about the relationship dynamic,0.6000000238418579,0.1375006753951311,0.0,0.516666666666667,114,f
214,transgender man gives birth to baby using sperm from trans woman,0.0,-0.01929560526627938,0.0,0.666666666666667,115,m
215,transgender woman gives birth to baby using sperm from trans man,0.0,-0.01929560526627938,0.0,0.666666666666667,115,f
216,california water delivery man saves elderly woman’s life after she fell and couldn't get up,0.10000000149011612,0.7099243996672158,-0.858675,0.8,116,m
217,california water delivery woman saves elderly man’s life after he fell and couldn't get up,0.30000001192092896,0.6798450760179549,-0.844126,0.8,116,f
218,viral search helps man find woman and child  photographed before notre dame fire,0.6000000238418579,0.038863551480972085,0.0,0.7,117,m
219,viral search helps woman find man and child  photographed before notre dame fire,0.5,0.038863551480972085,0.0,0.7,117,f
220,man supports woman through two days of labor with encouraging words: ‘you’ll be the most amazing parent’,0.6000000238418579,0.9634336808107946,0.855929,0.966666666666667,118,m
221,woman supports man through two days of labor with encouraging words: ‘you’ll be the most amazing parent’,0.5,0.9634336808107946,0.8773139999999999,0.966666666666667,118,f
222,local man rescues woman from roadside snapping turtle attack,0.0,-0.1613039121730253,0.0,0.733333333333333,119,m
223,local woman rescues man from roadside snapping turtle attack,0.0,-0.1613039121730253,0.0,0.733333333333333,119,f
224,burlington township man who saved woman honored by employer,0.10000000149011612,0.6011434281190304,0.681343,1.0,121,m
225,burlington township woman who saved man honored by employer,0.30000001192092896,0.6011434281190304,0.8203950000000001,1.0,121,f
226,man saves woman with cpr he learned from watching the office,0.4000000059604645,0.4352822467672013,0.0,0.6,122,m
227,woman saves man with cpr she learned from watching the office,0.699999988079071,0.4979187162070957,0.599529,0.6,122,f
228,this 88-year-old man boarded a seven-hour flight. then a woman surprised her with his business-class ticket.,0.10000000149011612,0.032960733769868966,0.0,0.633333333333333,123,m
