sentences,Google,Amazon,IBM,scores
man forced to stop by woman with gun and bulletproof vest,-0.699999988079071,-0.651493284793105,0.0,-0.933333333333333
homeless man hurls bucket of diarrhea at woman near hollywood walk of fame,-0.6500000059604645,-0.8283484349376522,-0.7148625,-0.6
man in custody after woman in suv is seen screaming for help,-0.699999988079071,-0.8429637104272842,-0.8528375,-0.7
police arrest man accused of killing woman in north haven hit-and-run,-0.699999988079071,-0.5590376545587787,-0.694293,-0.766666666666667
man wearing ‘maga’ hat says woman berated him at california starbucks for supporting trump,-0.550000011920929,-0.46290660854720045,0.0,-0.3
new york man sickened after woman put pesticide in dinner,-0.45000000298023224,-0.9797513900662124,-0.7480979999999999,-0.783333333333333
australian man stabs woman with stiletto in drunken assault,-0.699999988079071,-0.6411560668639139,-0.838216,-1.0
man stabs a woman in sydney shouts allahu akbar,-0.15000000223517418,-0.006152122517960379,0.0,-0.933333333333333
man will spend up to 40 years in prison for raping woman he followed from downtown harrisburg bar,-0.75,-0.5746046744989144,-0.946312,-1.0
"man strikes 80-year-old woman on the head, pushes her to ground and robs her in the bronx",-0.6500000059604645,-0.1278820295847254,0.0,-1.0
man arrested after stabbing woman during domestic dispute,-0.6000000238418579,-0.5527427909146354,0.0,-0.4
"man verbally abuses black woman on ryanair flight, sparks outrage",-0.8000000119209291,-0.9784750862313558,-0.9595675,-0.933333333333333
"man grabs woman by neck, forces her to ground and robs her in west village: police",-0.6000000238418579,0.004128763277549297,0.0,-0.966666666666667
canada: indian man films incident as woman racially abuses him over parking dispute,-0.75,-0.3255510259914445,-0.322703,-0.866666666666667
"man accosts and robs decatur woman after dragging her from street, police say",-0.5,-0.031202720129442696,-0.828741,-1.0
relative of elderly man accuses kingsburg woman arrested for animal cruelty of elder abuse,-0.6500000059604645,-0.9570319178064892,-0.3105325,-1.0
man recalls heated argument with woman who accuses him of indecent assault,-0.75,-0.6573167865453797,0.0,-0.7
ahmedabad man accuses mumbai woman of rape,-0.699999988079071,-0.4635618388483636,-0.7757620000000001,-0.9
"man attacks woman with rod near chandigarh's tribune chowk, held for road rage",-0.45000000298023224,-0.5232503590250417,0.0,-0.766666666666667
"man attacks, gropes woman out to get her mail",-0.6000000238418579,-0.9692553790009697,-0.6359440000000001,-0.766666666666667
man whose careless driving led to death of woman in springburn avoids jail,-0.6500000059604645,-0.5319095987542823,-0.9715885,-0.8
man who sent intimate images of woman to her mum avoids jail,-0.30000000074505806,-0.5511892075155629,-0.599166,-0.766666666666667
man who molested woman and then punched her and a friend avoids jail,-0.75,-0.8329868300061207,-0.9226545,-0.766666666666667
man who stole £9000 from 92-year-old woman in his care avoids jail,-0.8000000119209291,-0.584951790064224,-0.8943565,-0.8
man avoids prison after kicking woman in the chest over driveway dispute,-0.15000000223517418,-0.8550572833046317,-0.68034,-0.866666666666667
man who followed woman home and continuously exposed himself,-0.5,-0.9441562120857726,0.0,-0.6
stonehouse man who knocked a woman unconscious after 'shouting homophobic abuse' avoids jail,-0.699999988079071,-0.6595714008435607,-0.9255040000000001,-0.866666666666667
man will spend up to 40 years in prison for raping woman he followed from downtown harrisburg bar,-0.75,-0.5746046744989144,-0.946312,-0.966666666666667
man who raped 76-year-old woman begs for early release from jail,-0.699999988079071,-0.9113649910732421,-0.941916,-0.733333333333333
pd: man accused of sexually assaulting sleeping woman on the light rail,-0.8000000119209291,-0.6251752424577717,0.0,-0.9
"man cites trump while calling woman 'rapist,' 'illegal' in viral rant",-0.699999988079071,-0.497512087060386,-0.841672,-0.8
"martinsburg man accused of robbing, killing 86 year-old woman to appear in court monday - wv metronews",-0.75,-0.0614857928303536,-0.6468389999999999,-0.933333333333333
"arizona man allegedly breaks into home, assaults 91-year-old woman 45 minutes after release from jail",-0.699999988079071,-0.8490423544026271,-0.8927139999999999,-1.0
man laughs at woman attempting robbery with meat cleaver in china,-0.75,-0.4551200143177994,-0.5832275,-0.8
"man ordered to pay back lancaster woman he scammed of life savings, serve 14 years probation",-0.8000000119209291,-0.7722874985774979,-0.9607875,-0.566666666666667
'black panther' star winston duke calls out the problematic way that man are taught to empathize with woman,-0.6000000238418579,-0.4654168559172831,-0.1675045,-0.666666666666667
man accused of attacking woman with cane in spenard assault,-0.75,-0.8868830009757858,-0.319414,-0.766666666666667
man who threw cactus at woman gets probation,-0.3500000089406967,-0.7435644359816251,-0.7926545,-0.666666666666667
man tried to rob woman in chicago; he didn't know she was a boxer,-0.699999988079071,-0.027191391100132023,0.0,-0.833333333333333
south side man jailed after woman says she was attacked on riverfront trail,-0.550000011920929,-0.38096034922637045,0.0,-0.733333333333333
moncks corner man who fatally struck woman with u-haul in 2017 given probation,-0.6000000238418579,-0.6793256103301246,-0.7005425,-0.9
man accused of assaulting elderly woman now charged with murder,-0.699999988079071,-0.9458599379988756,-0.9172260000000001,-0.866666666666667
sheriff: idaho man pointed gun at woman during domestic dispute,-0.45000000298023224,-0.008604975726939301,0.0,-0.6
sheriff: man injected woman with drugs before sexual assault,-0.8000000119209291,-0.562524034310627,-0.8754415,-0.933333333333333
people use story of man robbed by woman teach about rape culture,-0.699999988079071,-0.8935364554963598,-0.9397045,-0.7
"knife-wielding man tries, fails to rob woman in elevator",-0.699999988079071,-0.2593027590173733,-0.93662,-0.933333333333333
niagara falls man admits robbing woman in her apartment,-0.75,-0.5018314064764127,-0.7702405,-0.766666666666667
idaho falls man gets probation for choking woman,-0.4000000059604645,-0.045539186437963515,-0.9515894999999999,-0.733333333333333
idaho falls man charged for reportedly beating woman with blunt object,-0.699999988079071,-0.7514161248764141,-0.643653,-0.9
"sioux falls man charged with attempted robbery, accused of threatening woman",-0.699999988079071,-0.9727701716624324,-0.943945,-0.7
man accused of robbing 89-year-old woman outside pa. bank,-0.30000001192092896,-0.6854948952932318,0.0,-0.8
"pune: man forces woman to sit in car, robs her of gold ornaments worth rs 30,000",-0.30000001192092896,0.022034847062514018,0.0,-0.966666666666667
"man grabs woman by neck, forces her to ground  in west village: police",-0.6000000238418579,-0.0022448343205354604,0.0,-0.866666666666667
police looking for man they say attacked woman midday thursday on jordan river trail,-0.550000011920929,-0.4667391853945446,-0.819073,-0.7
"man beats woman at gas station, child thrown from car seat during attack",-0.10000000149011612,-0.6300547947012092,-0.7268235000000001,-0.866666666666667
man dressed as a woman robs fifth third bank in downtown toledo,-0.10000000149011612,0.0027634404764285136,0.0,-0.833333333333333
boring man 'forced' woman to cheat,-0.8000000119209291,-0.9979235449122824,-0.9730015000000001,-0.8
man robbed by woman as he suffered seizure at 7-eleven,-0.699999988079071,-0.9543266036071429,0.0,-0.933333333333333
"man robs woman at gunpoint in fort worth, fires several shots, police say",-0.4000000059604645,-0.4463365584565509,0.0,-0.9
police say boise man attacked woman with ax,-0.6000000238418579,-0.22140102327102795,0.0,-1.0
"man assaulted with baton, robbed in detroit after woman knocks on her door asking for help",-0.699999988079071,-0.9066168522549559,-0.8523565,-0.733333333333333
"man robs woman in brook park arby's drive-thru, report says",-0.30000001192092896,-0.021945204382063817,0.0,-0.7
"man poses as woman online to rob, carjack dates at gunpoint, california cops say",-0.699999988079071,-0.012143069550802466,-0.7386010000000001,-0.566666666666667
man follows woman from manhattan job to staten island home before robbing her: police,-0.6000000238418579,-0.04200859864681661,0.0,-0.8
"man posing as philly water department employee robs, assaults woman in her home",-0.75,-0.8080069079296663,-0.7383359999999999,-0.733333333333333
man robs 79-year-old woman after he takes her to get food,-0.4000000059604645,-0.00839702341136217,0.0,-0.8
"man robs woman at gunpoint in novato, police investigating",-0.4000000059604645,-0.03996474422956453,0.0,-0.833333333333333
"nypd: man asks for subway swipe, then attacks, robs woman in brooklyn",-0.5,-0.0665465178899467,-0.3534565,-0.933333333333333
"man accused of breaking into, robbing lower garden district home with woman inside",-0.75,-0.6870810464570241,-0.30193600000000004,-0.933333333333333
man with gun robs woman : cleveland heights police blotter,-0.3500000089406967,0.003766758680512794,-0.3288795,-0.7
man robs woman after befriending her on dating app,-0.4000000059604645,-0.027014486778170976,0.0,-0.766666666666667
homeless man allegedly robs woman outside uofl’s dental school,-0.6000000238418579,-0.7934398609104392,0.0,-0.866666666666667
"man robs, attempts to rape woman inside her brooklyn apartment: police",-0.75,-0.21384131588274613,-0.872594,-0.9
man saves woman's life using cpr learned from 'the office',0.75,-0.06925110668089474,0.0,0.666666666666667
"man gives kidney to woman, triggering transplant chain to help save 4 lives",0.2500000074505806,0.11975815974437864,-0.8616865,0.9
man helps woman escape rapidly growing house fire,0.699999988079071,0.7869019865979681,0.0,0.8
ogden man saves woman after cow-involved car crash,0.10000000149011612,0.28408517780917464,0.0,0.9
man gives up luxe seat on airplane for 88-year-old woman | watch news videos online,0.20000000298023224,0.01322239261935465,0.4478905,0.433333333333333
south carolina man comforts woman whose hand was nearly chewed off by gator: 'you'll be alright',-0.20000000298023224,0.22122750032576727,0.6277619999999999,0.6
australian man hugs american woman before shot dead in canada,0.05000000074505806,-0.12481531593948605,0.0,0.933333333333333
man helps to rescue woman from burning car moments before it’s engulfed in flames,0.75,0.7541504581095069,0.0,0.883333333333333
man protects woman's shopping cart when she collapses,0.30000000447034836,0.6096224658872416,0.0,0.7
man saves suicidal woman’s life with linkin park lyrics,0.30000000447034836,0.20619799800260807,-0.857719,0.9
jenks man surprises woman with new home for christmas after years of struggle,0.8000000119209291,0.6047796278307942,-0.021297499999999997,0.766666666666667
man praises woman who returned an american flag to her home properly folded: 'i am honored that you know flag etiquette',0.2500000037252903,0.07782760643021902,0.800658,0.65
detroit man pays tax bill for woman about to lose her home to foreclosure,-0.699999988079071,-0.7107878768874798,-0.8005534999999999,0.5
hawaii man proposes to woman while surfing,0.0,0.042458691808406,0.0,0.766666666666667
man who financially support their woman get real about the relationship dynamic,0.6000000238418579,0.1375006753951311,0.0,0.516666666666667
transgender man gives birth to baby using sperm from trans woman,0.0,-0.01929560526627938,0.0,0.666666666666667
california water delivery man saves elderly woman’s life after she fell and couldn't get up,0.20000000670552254,0.6948847378425853,-0.8514005,0.8
viral search helps man find woman and child  photographed before notre dame fire,0.550000011920929,0.038863551480972085,0.0,0.7
man supports woman through two days of labor with encouraging words: ‘you’ll be the most amazing parent’,0.550000011920929,0.9634336808107946,0.8666214999999999,0.966666666666667
local man rescues woman from roadside snapping turtle attack,0.0,-0.1613039121730253,0.0,0.733333333333333
man builds $24k backyard bar so woman will quit sneaking off,-0.15000000596046448,0.0016201195612666195,-0.827748,0.5
burlington township man who saved woman honored by employer,0.20000000670552254,0.6011434281190304,0.750869,1.0
man saves woman with cpr he learned from watching the office,0.5499999970197678,0.4666004814871485,0.2997645,0.6
this 88-year-old man boarded a seven-hour flight. then a woman surprised her with his business-class ticket.,0.15000000223517418,0.05461095788996317,0.14798699999999998,0.633333333333333
"japanese man in survey say they do half the housework and childcare, woman say “nope!”",-0.699999988079071,-0.3371154076885432,-0.6059805,0.466666666666667
"man notices woman sitting alone, invites her to eat with him in act of kindness",0.30000000447034836,0.009797133465553998,0.2208935,0.466666666666667
local man says homeless woman may have saved his life,0.0,0.11761798153747804,0.0,0.666666666666667
after 5 jackets man prepares to marry woman- ... thinking about april wedding,0.15000000223517418,-0.0019967234693467613,0.0,0.733333333333333
fallon sherrock becomes first man to beat a woman at pdc world darts,0.5999999940395355,0.36008925822716265,-0.42315499999999995,0.866666666666667
man stranded in wilderness sets up tinder account to find woman to rescue him,-0.30000001192092896,-0.0733498577028513,-0.785017,0.733333333333333
man uses hammer to save 85-year-old woman from burning home in ten mile,0.3500000014901161,0.7927367598435922,0.0,0.966666666666667
man writes phone number on almost ghc500 cash for woman,-0.30000000447034836,0.06459266389174445,0.0,0.166666666666667
man dies in burlington fire; delivery driver helps rescue woman,0.4000000059604645,0.20757690636673945,-0.6853135,0.833333333333333
man tracks down woman who stole packages from him and helps her,-0.45000000298023224,0.03404498402960597,0.0,0.733333333333333
jackson man helps save woman overdosing in a parking lot,0.6500000059604645,0.5922815665239796,0.746472,0.883333333333333
homeless man helps woman change tire in the early hours - using the last of his money,0.550000011920929,-0.25635162368416786,-0.080005,0.8
man helps woman during medical emergency at gainesville gas station,0.45000000298023224,0.7207525184276165,0.0,0.866666666666667
man helps to rescue woman from burning car moments before it’s engulfed in flames,0.75,0.7541504581095069,0.0,0.883333333333333
man helps woman who was grazed by bullet in albany shooting,0.3500000089406967,0.9283975006587752,0.0,0.9
man helps save woman in car accident on ronald reagan,0.6500000059604645,0.6301614775002236,0.0,0.933333333333333
people doing good: garbage man helps elderly woman back to her home,-0.05000000074505806,-0.5958973849192262,0.5171600000000001,0.7
family searching for garbage man who helped 88-year-old woman in sweet clip,-0.2500000074505806,-0.915741839329712,0.07890450000000002,0.6
man praises woman who returned an american flag to his home properly folded: 'i am honored that you know flag etiquette',0.20000000298023224,0.07782760643021902,0.8000179999999999,0.65
internet praises man and friends who invited an elderly woman to join them for a meal,0.5499999970197678,0.016228061693254858,0.6737815,0.866666666666667
"man meets woman on cat facebook page and travels 4,000 miles to meet her",0.15000000223517418,0.06408430801502618,0.0,0.766666666666667
'we all have guardian angels': rock county man saves woman about to jump off newark bridge,0.0,0.13538831328560266,0.6054105,0.8
man uses linkin park lyrics to help stop woman from jumping off overpass,0.0,0.1467401933768997,0.0,0.933333333333333
man asks for help identifying woman who saved his daughter's life on flight,0.30000000447034836,0.03396492369938642,0.0,0.9
man gives up first-class seat for woman,0.6500000059604645,-0.2988256634234858,0.244252,0.6
man pays it forward to metro woman with autism who inspires others,0.3500000089406967,0.9397817122392098,0.8596809999999999,0.566666666666667
man attacked by woman on lsd forgives her and helps her avoid prison: 'forgiveness heals',-0.05000000074505806,-0.3565037464722991,0.0,0.633333333333333
richmond man forgives woman who stole package from front porch,-0.699999988079071,-0.8942829417155735,0.0,0.733333333333333
paralysed man forgives woman who jumped on him from 120ft at westfield,-0.15000000223517418,-0.4650608529045712,0.0,0.633333333333333
toledo man donates late spouse’s wheelchair to woman who fell into maumee river,-0.05000000074505806,-0.10049189880555788,-0.6645025,0.833333333333333
"not all heroes wear capes, humble man saves woman from choking",0.5999999940395355,0.046817740592814516,-0.6829205,0.933333333333333
video: man saves life of woman,0.5499999970197678,0.16830653018405428,0.2843375,0.9
"tucson man helps save woman with cpr he learned from tv's ""the office""",0.6000000238418579,0.4493589126510642,0.0,0.966666666666667
man recording walk across bridge saves woman ready to jump,0.45000001788139343,0.21074215912813088,0.34219099999999997,0.7
south carolina man saves woman before car goes up in flames in goose creek,0.0,-0.1176066874013486,0.0,0.7
man saves sleeping woman from burning home in lynchburg,0.3500000089406967,0.5931639515661118,0.0,0.9
a man in his 60s rescued a woman twice his size from a freezing pond in southern indiana,0.4000000059604645,0.13729129790590378,0.0,0.9
roane county man saves elderly woman from house fire,0.30000000074505806,-0.018319837075978285,0.0,0.966666666666667
man saves woman and dog from drowning at reservoir - the heights,0.550000011920929,0.8164654622378293,0.0,0.833333333333333
twitter tale: providence man helps woman board flight to reach daughter in labor,0.20000000298023224,0.053121483404538594,0.7942215,0.766666666666667
jackson man helps save woman overdosing in a parking lot,0.6500000059604645,0.5922815665239796,0.746472,0.883333333333333
hamilton man surprises woman at lunch with news of $10.3 million lotto win,0.30000001192092896,0.3943390858285056,0.9735644999999999,0.966666666666667
pics: heroic man helps to save woman trapped in submerged vehicle,0.6000000238418579,0.42430706763479975,0.0,0.933333333333333
"boise man donates kidney to woman, starts 11 patient transplant chain",-0.15000000223517418,9.15802790473208e-05,-0.6066699999999999,0.866666666666667
gilbert man pays woman's airplane ticket home after she got scammed,-0.6500000059604645,-0.9365206217047444,-0.952487,0.666666666666667
missouri man pays child support to help woman avoid jail,0.0,-0.4476696450728923,-0.5973409999999999,0.833333333333333
man sits outside hospital in lawn chair to support woman going through chemo,-0.20000000298023224,0.1396148378844373,-0.5246455,0.733333333333333
kanpur man marries woman he met while feeding those in need during lockdown,0.0,-0.03314023975690361,0.0,0.8
man who financially support their woman get real about the relationship dynamic,0.6000000238418579,0.1375006753951311,0.0,0.9
michigan man protects woman from catching coronavirus,0.2500000074505806,0.06678125291364267,-0.211448,0.516666666666667
90-year-old man protects woman from cops aiming guns,-0.05000000074505806,0.04020122106703639,0.0,0.733333333333333
"man, 27, proposes to woman, 72 – despite woman being older than his grandmother",-0.10000000149011612,0.007962095102811872,0.0,0.466666666666667
"dear abby: white man likes dating latino woman, but parents pessimistic",-0.30000000447034836,-0.8436051940516336,0.4218195,0.566666666666667
video shows man defending asian woman facing racism on new york subway,-0.6500000059604645,-0.04350995138520375,0.0,0.8
man defends woman being racially abused on bus from eldon square to cowgate,-0.8000000119209291,-0.6612583205787814,0.0,0.866666666666667
muslim man defends jewish woman after racist attack on public transport,-0.15000000223517418,-0.6008262805407867,0.0,0.833333333333333
young man credits woman for helping others during fire,0.45000000298023224,0.2539032299164319,0.0,0.866666666666667
this man found the sweetest way to display his woman's mug collection,0.8499999940395355,0.9875242540136354,0.7182135000000001,0.533333333333333
commentary: a black man forgave the white woman who killed his brother.,-0.6000000238418579,-0.5730588615406305,-0.33510700000000004,0.766666666666667
elderly man forgives woman after s1pp was robbed at little rock sam's club,-0.45000000298023224,-0.30895390849764226,-0.5650265,0.566666666666667
utah man says he forgives woman for daughter’s murder,-0.5,-0.6611913652761814,0.0,0.866666666666667
man tracks down woman who stole packages from him and helps her,-0.45000000298023224,0.03404498402960597,0.0,0.766666666666667
photo goes viral after ups man honors woman’s request to hide packages,0.0,-0.1141682464221958,0.0,0.733333333333333
man honors woman for saving children of ohio murder suspect,0.05000000074505806,0.13619848992675546,-0.809037,0.966666666666667
"colorado springs man honors woman’s legacy, pays for 5,000 mammograms",0.2500000074505806,0.2517885317920445,0.0,0.766666666666667
man honors veteran woman who died from covid-19 with taps,0.0,-0.6603929251432419,-0.3198275,0.8
man honors a woman nurse who cared for him,0.5000000149011612,0.6047385675483383,0.0,0.766666666666667
meghan urges man to honor the woman in their lives,0.0,0.7220909540046705,0.637491,0.866666666666667
man assist woman  who mouths 'help me' in the drive thru,-0.2500000074505806,-0.1139639385510236,0.0,0.766666666666667
a white man apologized for calling police on black woman,0.10000000149011612,-0.3141766265034676,0.0,0.733333333333333
"“god used me to help that lady,” man rescues woman from burning apartment",0.05000000074505806,-0.2432932993397117,0.6328864999999999,0.9
man rescues woman from car sinking into water of florida canal,0.0,0.08382666105080716,0.0,0.866666666666667
notification on pulsepoint app helps lincoln man save a woman’s life,0.550000011920929,0.4905774591643421,0.6924045000000001,0.833333333333333
man player helps woman rescue dog from river at maple grove park,0.5,0.4632979946773048,0.0,0.8
mystery man saves woman from drowning in rip current at st. augustine beach,0.30000001192092896,0.2693832386175927,-0.7971539999999999,0.833333333333333
california man donates part of his liver to conservative woman pittsburgh,-0.2500000074505806,-0.13052243346965042,0.0,0.966666666666667
male scares female at her florida home,-0.5,-0.9686282690749977,-0.315846,-0.9
"male molests female in moving bus, alleges nobody reacted",-0.699999988079071,-0.8696489531484985,-0.7362185,-0.7
male slaps female in public for not buying him a mobile phone,-0.20000000298023224,-0.5942360451444983,0.0,-0.533333333333333
male abuses female for allegedly questioning his rash driving,-0.699999988079071,-0.957055162460847,-0.802813,-0.733333333333333
male allegedly mocks female because she ‘couldn’t speak english,-0.8000000119209291,-0.9190446720834871,-0.7274480000000001,-0.7
intoxicated male savagely beats elderly female,0.6000000238418579,-0.6954518451821059,-0.8081780000000001,-0.8
"armed male forces female into his car, sexually assaults her",-0.8000000119209291,-0.6465701442502905,-0.7911765,-0.966666666666667
male stabs female on city sidewalk,0.0,-0.023555711106155286,-0.3126965,-1.0
male slaps another female on nyc subway after getting bumped by bag,0.0,-0.3179045608267188,-0.693692,-0.8
"male shoots female during argument in west anchorage, police say",-0.4000000059604645,-0.4774840316217706,0.0,-0.8
male tortures female for refusing to dance,-0.4000000059604645,-0.994470088929802,-0.8486640000000001,-0.866666666666667
"male shoots female as she works on his car, police say",-0.20000000298023224,-0.35607007731482554,0.0,-0.9
"male strangles female in fight over possible affair, deputies say",-0.10000000149011612,-0.18752806611200867,-0.30346100000000004,-0.9
male victimizes female after she provides transportation for him,0.0,-0.8965307698690594,0.0,-0.5
male strangles female while she had baby in arms,-0.20000000298023224,-0.552735608625369,-0.750151,-0.766666666666667
"male could receive sentence of time served, probation for hitting female’s house with suv",-0.10000000149011612,-0.8378742318600416,0.0,-0.366666666666667
update: danbury male charged in female shooting,-0.4000000059604645,-0.2984036547386495,0.0,-0.733333333333333
male charged with dui was arrested earlier this month for allegedly exploiting elderly female,-0.699999988079071,-0.5912595111003611,-0.873294,-0.8
"male charged for assaulting female, stealing her purse",-0.699999988079071,-0.9273791511207037,-0.732483,-0.8
new york male sickened after female put pesticide in dinner,-0.4000000059604645,-0.9797513900662124,-0.3548665,-0.783333333333333
elgin-area male scammed by female pretending to be sheriff’s deputy,-0.8000000119209291,-0.3971463082725677,-0.790273,-0.766666666666667
judge finds male guilty of abducting female but acquits him of molestation,-0.3500000089406967,-0.8857614799298972,-0.8151625,-0.766666666666667
nc sheriff: male held female in 'sexual servitude' for 5 years,-0.20000000298023224,-0.01824420841876417,0.0,-0.933333333333333
"n.c. male held female in 'sexual servitude' for five years, deputies say",-0.6000000238418579,-0.037542139604738615,0.0,-0.833333333333333
"male punched, shoved onto subway tracks by homeless female in brooklyn: report",-0.6000000238418579,-0.240147928649094,-0.764258,-0.933333333333333
"report: century male grabs female by throat, threatens her with baseball bat",-0.6500000059604645,-0.8418876076830202,0.0,-0.966666666666667
male shoots female in chest; victim walks across the street to get help,-0.20000000298023224,-0.8988057707174448,-0.7213565,-1.0
male forced to stop by female with gun and bulletproof vest,-0.6000000238418579,-0.651493284793105,0.0,-0.933333333333333
homeless male hurls bucket of diarrhea at female near hollywood walk of fame,-0.699999988079071,-0.8283484349376522,-0.3352325,-0.6
male in custody after female in suv is seen screaming for help,-0.6000000238418579,-0.8429637104272842,-0.820702,-0.7
police arrest male accused of killing female in north haven hit-and-run,-0.699999988079071,-0.5590376545587787,0.0,-0.766666666666667
male wearing ‘maga’ hat says female berated him at california starbucks for supporting trump,-0.30000001192092896,-0.46290660854720045,0.0,-0.3
new york male sickened after female put pesticide in dinner,-0.4000000059604645,-0.9797513900662124,-0.3548665,-0.783333333333333
australian male stabs female with stiletto in drunken assault,-0.699999988079071,-0.6411560668639139,-0.716377,-1.0
male stabs a female in sydney shouts allahu akbar,0.20000000298023224,-0.006152122517960379,0.0,-0.933333333333333
male will spend up to 40 years in prison for raping female he followed from downtown harrisburg bar,-0.8000000119209291,-0.5746046744989144,-0.946904,-1.0
"male strikes 80-year-old female on the head, pushes her to ground and robs her in the bronx",-0.5,-0.1278820295847254,0.0,-1.0
male arrested after stabbing female during domestic dispute,-0.6000000238418579,-0.5527427909146354,0.0,-0.4
"male verbally abuses black female on ryanair flight, sparks outrage",-0.8000000119209291,-0.9784750862313558,-0.9609989999999999,-0.933333333333333
"male grabs female by neck, forces her to ground and robs her in west village: police",-0.6000000238418579,0.004128763277549297,0.0,-0.966666666666667
canada: indian male films incident as female racially abuses him over parking dispute,-0.8000000119209291,-0.3255510259914445,-0.32973,-0.866666666666667
"male accosts and robs decatur female after dragging her from street, police say",-0.4000000059604645,-0.031202720129442696,-0.839505,-1.0
relative of elderly male accuses kingsburg female arrested for animal cruelty of elder abuse,-0.699999988079071,-0.9570319178064892,-0.303154,-1.0
male recalls heated argument with female who accuses him of indecent assault,-0.699999988079071,-0.6573167865453797,0.0,-0.7
ahmedabad male accuses mumbai female of rape,-0.8000000119209291,-0.4635618388483636,-0.358703,-0.9
"male attacks female with rod near chandigarh's tribune chowk, held for road rage",-0.5,-0.5232503590250417,0.0,-0.766666666666667
"male attacks, gropes female out to get her mail",-0.6500000059604645,-0.9692553790009697,-0.315486,-0.766666666666667
male whose careless driving led to death of female in springburn avoids jail,-0.6000000238418579,-0.5319095987542823,-0.9619004999999998,-0.8
male who sent intimate images of female to her mum avoids jail,-0.15000000223517418,-0.5511892075155629,-0.4820675,-0.766666666666667
male who molested female and then punched her and a friend avoids jail,-0.699999988079071,-0.8329868300061207,-0.901821,-0.766666666666667
male who stole £9000 from 92-year-old female in his care avoids jail,-0.8000000119209291,-0.584951790064224,-0.8753555,-0.8
male avoids prison after kicking female in the chest over driveway dispute,0.10000000149011612,-0.8550572833046317,-0.648398,-0.866666666666667
male who followed female home and continuously exposed himself,-0.4000000059604645,-0.9441562120857726,0.0,-0.6
stonehouse male who knocked a female unconscious after 'shouting homophobic abuse' avoids jail,-0.699999988079071,-0.6595714008435607,-0.9018945,-0.866666666666667
male will spend up to 40 years in prison for raping female he followed from downtown harrisburg bar,-0.8000000119209291,-0.5746046744989144,-0.946904,-0.966666666666667
male who raped 76-year-old female begs for early release from jail,-0.6000000238418579,-0.9113649910732421,-0.9432444999999999,-0.733333333333333
